text,intent,tags
những mẫu này còn cho bé 8 tuổi 31 kg ko e?,ask_availability,O B-inform#mention I-inform#mention O O O B-inform#age I-inform#age B-inform#weight I-inform#weight O O
sp này có được đổi k b?,handoff,B-inform#mention I-inform#mention O O O O O
"bạn ơi, mình có comment đơn trong live stream. bạn xem bên mình đã chốt những sp nào cho mình để mình ck nhé",handoff,O O O O O O O O O O O O O O O O O O O O O O O O
mấy mẫu này có size cho bé cao tầm 1m4 nặng 45-50 cân k ạ,ask_if_sells#size,O B-inform#mention I-inform#mention O O O O O O B-inform#height O B-inform#weight I-inform#weight O O
ở địa chỉ này còn màu nào bạn? 169 thái hà,request#color,O O O O O O O O O O O
ad cho mình xin danh sách cửa hàng tại hà nội nhé,request_shop_address,O O O O O O O O O B-inform#location I-inform#location O
vì mình nhờ lấy hộ chứ không đã từ chối nhận hàng,handoff,O O O O O O O O O O O O
có size cho bạn 6-7 tuổi ko e,ask_if_sells#size,O O O O B-inform#age I-inform#age O O
mình muốn ra đổi 1 cái có đc ko,handoff,O O O O O O O O O
cửa hàng nào gần hà đông có vậy bạn,request_shop_address,O O O O B-inform#location I-inform#location O O O
e ơi c hỏi giá mấy set này với,request#price,O O O O O O B-inform#object_type B-inform#mention O
set này còn sz 11t ko shop,ask_availability#size,B-inform#object_type B-inform#mention O O B-inform#age O O
34ký mặc vừa ko e,ask_if_fit,B-inform#weight O O O O
bộ nayd có size cho 2 bé 18kg và 31kg ko ak,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O O B-inform#weight O B-inform#weight O O
hiện tại bên bạn có sử dụng thanh toán quẹt thẻ cho khách hàng k ạ,handoff,O O O O O O O O O O O O O O O O
có sz 4-5 k ạ,ask_if_sells#size,O O O O O
bé nhà e cao 80cm nặng 11kg ak,inform,O O O O B-inform#height O B-inform#weight O
"cao 135cm , nặng 35 kg",inform,O B-inform#height O O B-inform#weight I-inform#weight
đang sale đúng o ạ?,request#promotion,O O O O O
mẫu đầu ko có 23kg nhỉ,ask_if_sells,B-inform#mention I-inform#mention O O B-inform#weight O
11 tuổi vừa ko,ask_if_fit,B-inform#age I-inform#age O O
có áo lót cho bé gái 11 tuổi k em,ask_if_sells,O B-inform#object_type O O B-inform#gender I-inform#gender B-inform#age I-inform#age O O
con áo dài nhung cho bé 25 kg ko,ask_availability,O B-inform#object_type I-inform#object_type B-inform#material O O B-inform#weight I-inform#weight O
8 tuổi,inform,B-inform#age I-inform#age
xin địa chỉ,request_shop_address,O O O
quần còn ko shop,ask_availability,B-inform#object_type O O O
hàng sale mà k vừa có đc đổi size k e,handoff,O O O O O O O O O O O
cao 1m nặng hơn 16kg,inform,O B-inform#height O O B-inform#weight
địa chỉ shop ở đâu ạ?,request_shop_address,O O O O O O
có size 22kg k shop,ask_if_sells#size,O O B-inform#weight O O
bộ đó giá bnhieu bạn ơi,request#price,B-inform#object_type B-inform#mention O O O O
mình xin mẫu quần áo cho bé trai 11t 28kg,request#product,O O O B-inform#object_type B-inform#object_type O B-inform#gender I-inform#gender B-inform#age B-inform#weight
bé nhà e 14kg cao 97cm ạ,inform,O O O B-inform#weight O B-inform#height O
còn áo quần này cho bé 3 tuổi k ah?,ask_availability,O B-inform#object_type B-inform#object_type B-inform#mention O O B-inform#age I-inform#age O O
có đồ cho bé 9-15kg ko em?,ask_if_sells,O O O O B-inform#weight O O
có màu khác hem ạ,request_more#color,O O O O O
mẫu này còn sz cho bé 4t k e ơi,ask_availability#size,B-inform#mention I-inform#mention O O O O B-inform#age O O O
e xem hà đông còn ko,ask_availability,O O B-inform#location I-inform#location O O
bé c 6t cao 115cm 21kg,inform,O O B-inform#age O B-inform#height B-inform#weight
mà còn chương trình mua 1 tặng 1 k e?,request#promotion,O O O O O O O O O O
có cho bé 6 tuôi ko a,ask_if_sells,O O O B-inform#age I-inform#age O O
e muốn đặt thêm quần jogger thì bn ah ?,handoff,O O O O B-inform#object_type I-inform#object_type O O O O
áo có lót lông ko shop? cho mình xin mấy ảnh của áo,handoff,B-inform#object_type O O O O O O O O O O O B-inform#object_type
cả váy nhung đỏ chân váy trắng nữa,inform,O B-inform#object_type B-inform#material B-inform#color B-inform#object_type I-inform#object_type B-inform#color O
có bộ này size 11 ko ạ,ask_if_sells#size,O B-inform#object_type B-inform#mention O O O O
cơ sở ở tô hiệu hà đông cong không ạ,ask_availability,O O O O O B-inform#location I-inform#location O O O
"có size bé 34kg cao 1,3m hg shop?",ask_if_sells#size,O O O B-inform#weight O B-inform#height O O
cho em đặt áo và váy size 9 tuổi ạ,order_request,O O O B-inform#object_type O B-inform#object_type O B-inform#age I-inform#age O
gửi c mẫu quần cotton cho bé 7 y nhé,request#product,O O O B-inform#object_type B-inform#material O O B-inform#age I-inform#age O
b còn bộ này sz 14kg 3y ko,ask_availability#size,O O B-inform#object_type B-inform#mention O B-inform#weight B-inform#age O
size 8 - 9 tuổi ạ,inform,O B-inform#age I-inform#age I-inform#age I-inform#age O
dung roi dia chi cu,agree,O O O O O
sh cho mình hỏi,greet,O O O O
con nhà e 32kg vừa k c,ask_if_fit,O O O B-inform#weight O O O
có áo da của bé gái 3y k ạ,ask_if_sells,O B-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender B-inform#age O O
bạn 40 kg có mặc size 43 kg vừa ko,ask_if_fit,O B-inform#weight I-inform#weight O O O B-inform#weight I-inform#weight O O
size 8 bé nặng 26kg cao 118cm vừa không,ask_availability,O O O O B-inform#weight O B-inform#height O O
cho em huỷ b398 shop nhé vì size 3 em nghe bên mình tư vấn trên 15kg nên cho em xin huỷ ạ,handoff,O O O O O O O O O O O O O O O O B-inform#weight O O O O O O
vậy c lấy 2 cái này,order_request,O O O O B-inform#mention I-inform#mention
alo shoo,greet,O O
áo bn s,request#price,B-inform#object_type O O
c k tìm thấy trên shopbee,handoff,O O O O O O
có ship k b oi?,ask_about_ship,O O O O O
kiểu đi chơi nhé,handoff,O O O O
có mẫu cho bé 12 tuổi 40 kg không up cho chị xem,ask_if_sells,O O O O B-inform#age I-inform#age B-inform#weight I-inform#weight O O O O O
gửi hàng cho t chưa b ơi,handoff,O O O O O O O
shop còn chân váy bò này size 5 k ah?,ask_availability#size,O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#mention O O O O
giá bao nhiêu,request#price,O O O
shop gửi m mẫu quần legging bên trong và ngoài là váy với,request#product,O O O O B-inform#object_type I-inform#object_type O O O O O B-inform#object_type O
còn sz bạn 4t 15 kg k ah,ask_availability#size,O O O B-inform#age B-inform#weight I-inform#weight O O
có size cho bé 25kg k b,ask_if_sells#size,O O O O B-inform#weight O O
có size bé 14.5kg ko b,ask_if_sells#size,O O O B-inform#weight O O
shop để auto trả lời à,ask_is_bot,O O O O O O
chất liệu j đaya b,request#material,O O O O O
size 9 liệu vừa ko hay chật,ask_if_fit,O O O O O O O
c lấy cả set này nhé,order_request,O O O B-inform#object_type B-inform#mention O
b ơi cho m hỏi m mua quần này lotte muốn đổi size to đổi qua đây đc ko,handoff,O O O O O O O B-inform#object_type B-inform#mention O O O O O O O O O O
có đặt ol đ. ko ạ,handoff,O O O O O O
33kg có vừa ko shop,ask_if_fit,B-inform#weight O O O O
"e oi, live trưa qua c đặt 2 mã áo cho bé e xen còn ko",ask_availability,O O O O O O O O O B-inform#object_type O O O O O O
shop ở gần khu vực đông anh ko còn ạ,ask_availability,O O O O O B-inform#location I-inform#location O O O
em có áo cộc tay trắng ko,ask_if_sells,O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#color O
thanks b,thank,O O
check giúp c các mẫu trong hình có còn size cho bạn cao 1m33 27kg k,ask_availability#size,O O O O O O O O O O O O O B-inform#height B-inform#weight O
màu tím có size 54kg k,ask_if_sells#size,B-inform#color I-inform#color O O B-inform#weight O
"cửa hàng có váy của bé mới 8 tháng tuổi, 7kg k ạ",ask_if_sells,O O O B-inform#object_type O O O B-inform#age I-inform#age O B-inform#weight O O
alo shop ơiiiiiiii,greet,O O O
shop ơi có mẫu sóc bò cho bé trai 41kg k a,ask_if_sells,O O O O B-inform#object_type B-inform#material O B-inform#gender I-inform#gender B-inform#weight O O
thành phố bắc ninh ko bán nữa ạ?,handoff,O O B-inform#location I-inform#location O O O O
2 áo này sao có đc giảm 50% ko bạn?,request#promotion,O B-inform#object_type B-inform#mention O O O O O O O
b ơi bên mình còn khẩu trang vải và người lớn ở cơ sở the garden k ạ,ask_availability,O O O O O B-inform#object_type I-inform#object_type B-inform#material O O O O O O O O O O
size 9 có vừa ko?,ask_if_fit,O O O O O
e ơi! có địa chỉ nào gần hd ko? chị muốn chọn trực tiếp,request_shop_address,O O O O O O O B-inform#location O O O O O O
cho m xin mẫu áo phao cho bé gái 8 tuổi,request#product,O O O O B-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender B-inform#age I-inform#age
bé 11-12kg là mặc size nào ạ?,ask_if_fit,O B-inform#weight O O O O O
oh ba n ui,greet,O O O O
sản phẩm có màu đỏ k ạ,ask_if_sells,O O O B-ask_if_sells#color I-ask_if_sells#color O O
shop gửi là áo phông 8-9 boy,request#product,O O O B-inform#object_type I-inform#object_type O B-inform#gender
"bé nhà t 1m10, 21 - 22kg bé nhà t dùng sz 6 ia b có những mẫu nào sz 6 cho bé gái gửi t mẫu vs",handoff,O O O B-inform#height B-inform#weight O B-inform#weight O O O O O O O O O O O O O O O B-inform#gender I-inform#gender O O O O
đặt qua web đc ko ah,handoff,O O O O O O
chất liệu gì vậy sh,request#material,O O O O O
bộ này cho bé 16kg,inform,B-inform#object_type B-inform#mention O O B-inform#weight
ko cho c địa chỉ cửa hàng còn sz 8 hoặc 9 để c qua mua,request_shop_address,O O O O O O O O O O O O O O O O
em báo giá cả set cho chị,request#price,O O O O B-inform#object_type O O
giờ đang có chương trình mua 1 tặng 1 ah bạn,request#promotion,O O O O O O O O O O O
nhà mình còn váy này ko ạ,ask_availability,O O O B-inform#object_type B-inform#mention O O
"bộ này có cho trẻ cao 155cm, nặng 53kg ko shop",ask_if_sells,B-inform#object_type B-inform#mention O O O O B-inform#height O B-inform#weight O O
nặng 25 kg,inform,O B-inform#weight I-inform#weight
bộ này có sz 9t ko ah,ask_if_sells#size,B-inform#object_type B-inform#mention O O B-inform#age O O
có màu nào nhạt hơn k,request_more#color,O O O O O O
closet trần đăng ninh còn ko ạ,ask_availability,O B-inform#location I-inform#location I-inform#location O O O
với có màu khác nữa k,request_more#color,O O O O O O
"bên mình có cách tân cho bé trai 12kg 2,5 tuổi k ạ",ask_if_sells,O O O O O O B-inform#gender I-inform#gender B-inform#weight B-inform#age I-inform#age O O
shop ơi mấy cái này còn 6t ko e nhỉ,ask_availability,O O O B-inform#mention I-inform#mention O B-inform#age O O O
ở nđ địa chỉ shop ở đâu e nhỉchi qua ?,request_shop_address,O O O O O O O O O O O
mình muốn lấy 2 bộ cả set quần áo,order_request,O O O O B-inform#object_type O B-inform#object_type I-inform#object_type I-inform#object_type
"váy này còn size 4 với 6 không ạ, với giá bn ạ?",ask_availability#size,B-inform#object_type B-inform#mention O O O O O O O O O O O
cửa hàng số 9 hàng da có áo đồng phục k ạ,ask_if_sells,O O O O B-inform#location I-inform#location O B-inform#object_type I-inform#object_type I-inform#object_type O O
sz 14kg và 18kg,inform,O B-inform#weight O B-inform#weight
mình ở hà đông. cho mình hỏi chi nhánh nào nhiều đồ của bé trai nhất ạ,handoff,O O B-inform#location I-inform#location O O O O O O O O O B-inform#gender I-inform#gender O O
4y 18kg,inform,B-inform#age B-inform#weight
cho mình đặt 2 bộ này nhé,order_request,O O O O B-inform#mention B-inform#mention O
ali b ơi,greet,O O O
gửi c link sản phẩm sale vs,handoff,O O O O O O O
m mua online đc k,ask_if_sells#online,O O O O O
bên linh đàm còn ko shop?,ask_availability,O B-inform#location I-inform#location O O O
quần này có size cho bé cao 163cm nặng 43kg k ạ,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O O B-inform#height O B-inform#weight O O
mình có ship ko ạ?,ask_about_ship,O O O O O
bạn xem còn thì để mình ck chốt đơn,handoff,O O O O O O O O O
cho mình lấy 1 cái này size 7 t,order_request,O O O O B-inform#mention I-inform#mention O B-inform#age I-inform#age
dạ e muốn lấy mẫu này sz 4 ạ,order_request,O O O O B-inform#mention I-inform#mention O O O
vậy mình có thể đặt online bộ mình gửi không,ask_if_sells#online,O O O O O O B-inform#object_type O O O
để m suy nghĩ lại đã cảm ơn shop nha,thank,O O O O O O O O O O
mẫu này có size cho bé 8 tuổi k ad?,ask_if_sells#size,B-inform#mention I-inform#mention O O O O B-inform#age I-inform#age O O
dạ shop có váy cho trẻ từ 35-40kg không ạ?,ask_if_sells,O O O B-inform#object_type O O O B-inform#weight O O
0982754155 280 lò đúc,inform,O O O O
shop ơi có size bé 7y 34kg k ah,ask_if_sells#size,O O O O O B-inform#age B-inform#weight O O
à đó đúng rồi,agree,O O O O
thanks shop mình sẽ xem trên shoppe ạ,thank,O O O O O O O O
shop có bộ nay cho bé 11kg ko vâyh,ask_if_sells,O O B-inform#object_type B-inform#mention O O B-inform#weight O O
1 mẫu size 9 và 1 mẫu size 11,inform,O O O O O O O O O
thế mẫu nam nào sale k gửi cho chị để bạn chị chon với,request#product,O O B-inform#gender O O O O O O O O O O O
mh cảm ơn nha,thank,O O O O
bạn ơi shop có set gile cho bé trai 6.5 tuổi cao 120 nặng 21 kg ko nhỉ?,ask_if_sells,O O O O B-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender B-inform#age I-inform#age O B-inform#height O B-inform#weight I-inform#weight O O
alo b ơii,greet,O O O
mẫu này sale 50% ha shop,request#promotion,B-inform#mention I-inform#mention O O O O
cho mình hỏi váy này còn sz cho bé 8 tuổi cao 1.28 nặng 28 cân ko shop?,ask_availability#size,O O O B-inform#object_type B-inform#mention O O O O B-inform#age I-inform#age O B-inform#height O B-inform#weight I-inform#weight O O
bạn ơi có bán online ko?,ask_if_sells#online,O O O O O O
mau ben bạn còn giảm k và giá sao b,request#price,O O O O O O O O O O
shop cho mình hỏi size to nhất của váy này là cho bánh mấy tuổi vậy?,handoff,O O O O O O O O B-inform#object_type B-inform#mention O O O O O O
sét này còn không ạ,ask_availability,B-inform#object_type B-inform#mention O O O
mẫu chấm bi còn ko shop,ask_availability,O O O O O O
cảm ơn shop nhìu nhe,thank,O O O O O
bên e có ship hàng ko,ask_about_ship,O O O O O O
có size 45 kg ko,ask_if_sells#size,O O B-inform#weight I-inform#weight O
cho c địa chỉ chỗ khác,request_shop_address,O O O O O O
sz 9 còn ở chi nhánh nào b,handoff,O O O O O O O O
váy này còn k bạn,ask_availability,B-inform#object_type B-inform#mention O O O
còn những mẫu nào cho bé 43kg gửi ảnh cjo m với nhé,request#product,O O O O O O B-inform#weight O O O O O O
uh c dat 1 áo dài màu này,order_request,O O O O B-inform#object_type I-inform#object_type O O
mình xin giá 2 set này nhé,request#price,O O O O B-inform#object_type B-inform#mention O
có ai hỗ trợ ko vậy,handoff,O O O O O O
quần denim này có size 10 tuổi ko b,ask_if_sells#size,B-inform#object_type I-inform#object_type B-inform#mention O O B-inform#age I-inform#age O O
"mẫu này còn size cho bé 5, 6 tuoi ko ạ",ask_availability#size,B-inform#mention I-inform#mention O O O O B-inform#age I-inform#age I-inform#age O O
có khăn như này mà màu khác k b,request_more#color,O B-inform#object_type O O O O O O O
cho mình hỏi các bộ hè có hàng cho trẻ 40kg ko bạn,ask_if_sells,O O O O B-inform#object_type B-inform#season O O O O B-inform#weight O O
hiện đồ bé trai khoảng 27kg có nhiều mẫu sale không ạ,request#promotion,O O B-inform#gender I-inform#gender O B-inform#weight O O O O O O
lấy size 10 tuổi cho c nhé\r\nthank e,order_request,O O O O O O O O
alo shop ơi,greet,O O O
có sz bé 24kg k,ask_if_sells#size,O O O B-inform#weight O
aloo shop,greet,O O
bộ này còn hàng sz 13 kg k bạn ơi,ask_availability#size,B-inform#object_type B-inform#mention O O O B-inform#weight I-inform#weight O O O
m hỏi giá mẫu váy này với ạ,request#price,O O O O B-inform#object_type B-inform#mention O O
đúng rồi b àh,agree,O O O O
có set mày cho bé 90 cm ko ạ,ask_if_sells,O B-inform#object_type B-inform#mention O O B-inform#height I-inform#height O O
bộ này còn ko b.,ask_availability,B-inform#object_type B-inform#mention O O O
em tư vấn xem cháu mặc size nào,ask_if_fit,O O O O O O O O
có đc sale k ạ,request#promotion,O O O O O
à cám ơn shop mình quyết định mua sẽ liên hệ lại nha,thank,O O O O O O O O O O O O O
nếu m mua online đc ko sh?,ask_if_sells#online,O O O O O O O
"bạn oi, quần váy có chương trình giảm giá ko",request#price,O O B-inform#object_type I-inform#object_type O O O O O O
ko có màu hồng ah b,ask_if_sells,O O B-ask_if_sells#color I-ask_if_sells#color O O
bạn ơi cho mình hỏi shop có sẵn mẫu này ko,ask_availability,O O O O O O O O B-inform#mention I-inform#mention O
bên b có mẫu nao cho bé trai 6-8 tuôi k nhi,ask_if_sells,O O O O O O B-inform#gender I-inform#gender B-inform#age I-inform#age O O
vs có size 17kg ko bạn,ask_if_sells#size,O O O B-inform#weight O O
b ơi set này có size cho.bạn 3y ko,ask_if_sells#size,O O B-inform#object_type B-inform#mention O O O B-inform#age O
mẫu bé trai bn ạ,request#price,B-inform#mention O O O O
cửa hàng tại yên phụ còn sản phẩm ko ạ,ask_availability,O O O B-inform#location I-inform#location O O O O O
lấy cho c áo này và chân váy hoa cúc,order_request,O O O B-inform#object_type B-inform#mention O B-inform#object_type I-inform#object_type O O
cho c xin các mẫu quần áo váy cho bé cao 130 nặng 25kg nhé c k có thời gian mua trực tiếp,request#product,O O O O O B-inform#object_type B-inform#object_type B-inform#object_type O O O B-inform#height O B-inform#weight O O O O O O O O O
bạn có ship hải phòng ko ạ,ask_about_ship,O O O B-inform#location I-inform#location O O
shop cho m đặt mẫu này nhé,order_request,O O O O B-inform#mention I-inform#mention O
địa chỉ ở đâu nhỉ,request_shop_address,O O O O O
hôm nay bên shop có khuyến mại gì ko,request#promotion,O O O O O O O O O
e mua ship đc k?,ask_about_ship,O O O O O
chân váy còn màu khác nữa ko em,request_more#color,B-inform#object_type I-inform#object_type O O O O O O
mình lấy 2-3c,order_request,O O B-inform#age
oki,agree,O
có mẫu nào sz 14 và 16kg k shop,ask_if_sells#size,O O O O B-inform#weight O B-inform#weight O O
ko biết bên cửa hàng lạc trung có còn ko ạ,ask_availability,O O O O O B-inform#location I-inform#location O O O O
mà hôm qua chị mua lúc 7h tối ko giảm cho chị,handoff,O O O O O O O O O O O O
bot tự động à,ask_is_bot,O O O O
áo này có cho bé 25kg 6 tuổi ko b,ask_if_sells,B-inform#object_type B-inform#mention O O O B-inform#weight B-inform#age I-inform#age O O
có size bé 1 tuổi ko ạ,ask_if_sells#size,O O O B-inform#age I-inform#age O O
bộ này bnhiu shop? có sz cho bạn 42kg lớp 2 ko sh?,request#price,B-inform#object_type B-inform#mention O O O O O O B-inform#weight O O O O
shop còn sale 50% ko?,request#promotion,O O O O O
shop cho mình lấy size 40 kg ah,order_request,O O O O O B-inform#weight I-inform#weight O
hj uk,agree,O O
có sz bé 11kg ko b,ask_if_sells#size,O O O B-inform#weight O O
shop gửi cho m xin link áo len bé trai 8 tuổi sale,request#product,O O O O O O B-inform#object_type I-inform#object_type B-inform#gender I-inform#gender B-inform#age I-inform#age O
ở tp ko còn nữa hả,ask_availability,O O O O O O
làm ở cầu giấy,handoff,O O B-inform#location I-inform#location
shop ơi cho mình hỏi hôm trước mình mua hàng được tặng cái voucher quà tặng bí mật ý,handoff,O O O O O O O O O O O O O O O O O O O
bạn nhà mình cao 1m45 nặng 32 kg mặc size nào được nhỉ,ask_if_fit,O O O O B-inform#height O B-inform#weight I-inform#weight O O O O O
bé nhà c 5 tuổi mà 30 kg mặc áo sz 8 vừa k e,ask_if_fit,O O O B-inform#age I-inform#age O B-inform#weight I-inform#weight O B-inform#object_type O O O O O
mẫu này có màu khac sk ạ,request_more#color,B-inform#mention I-inform#mention O O O O O
bộ này bn shop ơi?,request#price,B-inform#object_type B-inform#mention O O O
nặng 33 kg,inform,O B-inform#weight I-inform#weight
có size cho b 36 kg a,ask_if_sells#size,O O O O B-inform#weight I-inform#weight O
m hỏi hai mẫu này có size cho bé 8t 34 cân ko,ask_if_sells#size,O O O B-inform#mention I-inform#mention O O O O B-inform#age B-inform#weight I-inform#weight O
lấy chị quần này,order_request,O O B-inform#object_type B-inform#mention
b có bán online k a,ask_if_sells#online,O O O O O O
mình cảm ơn bạn lắm,thank,O O O O O
chất vải gì vậy b?,request#material,O O O O O
cam ơn shop,thank,O O O
quần tregging này con size 140,ask_availability#size,B-inform#object_type I-inform#object_type B-inform#mention O O O
ở cửa hàng còn sale k ạ,request#promotion,O O O O O O O
bên bạn có ship ko hay fai ra cửa hàng,ask_about_ship,O O O O O O O O O O
con chuột,handoff,O O
42 kg mặc vừa ko ạ,ask_if_fit,B-inform#weight I-inform#weight O O O O
tớ đặt 2 mẫu này size 4 tuổi,order_request,O O O B-inform#mention I-inform#mention O B-inform#age I-inform#age
set nay còn ko b,ask_availability,B-inform#object_type B-inform#mention O O O
còn size k,ask_availability#size,O O O
bộ bn vậy shop,request#price,B-inform#object_type O O O
bên mình quần như thế này ko bạn,ask_if_sells,O O B-inform#object_type O O B-inform#mention O O
sét này bn vậy s,request#price,B-inform#object_type B-inform#mention O O O
nặng 17kg cao thì ko biết nơi . mà bé 5 tuổi đó em,handoff,O B-inform#weight O O O O O O O O B-inform#age I-inform#age O O
ko bán online ah,ask_if_sells#online,O O O O
váy đó có size bạn 6t ko em. cao 110 nặng 21kg,ask_if_sells#size,B-inform#object_type B-inform#mention O O O B-inform#age O O O B-inform#height O B-inform#weight
alo c oi,greet,O O O
cháu nặng 18kg,inform,O O B-inform#weight
đúng rồi mình vừa gọi cho bạn,agree,O O O O O O O
em cảm ơn j,thank,O O O O
cho m xin địa chỉ cửa hàng ở khu vực mỹ đình,request_shop_address,O O O O O O O O O O B-inform#location I-inform#location
áo này có của bạn 6y ko e,ask_if_sells,B-inform#object_type B-inform#mention O O O B-inform#age O O
có vừa k b :(,ask_if_fit,O O O O O
địa chỉ mình o đâu vây,request_shop_address,O O O O O O
sét mẫu 2 có size cho bé 2 tuổi k shop,ask_if_sells#size,B-inform#object_type O O O O O O B-inform#age I-inform#age O O
cửa hàng ở đâu hả em,request_shop_address,O O O O O O
đung rồi tinh lun b,agree,O O O O O
có ship ko b?,ask_about_ship,O O O O
4c này lấy sz 10 cho c,order_request,B-inform#mention I-inform#mention O O O O O
còn mẫu áo dạ nào shop gửi hình đc k ạ,request#product,O O B-inform#object_type O O O O O O O O
bộ này có size 150 ko ?,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O O
bé nhà chị nặng 13 kg,inform,O O O O B-inform#weight I-inform#weight
mình đặt online đc ko bạn?,ask_if_sells#online,O O O O O O
gửi cho c xem mẫu váy bé 8t e nhé,request#product,O O O O O B-inform#object_type O B-inform#age O O
bên shop có quần sooc cho bé gái 40kg ko,ask_if_sells,O O O B-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender B-inform#weight O
à uk,agree,O O
cửa hàng mình ở đâu vây,request_shop_address,O O O O O O
ở hải phòng bên mình có cửa hàng k? cho t xin địa chỉ,request_shop_address,O B-inform#location I-inform#location O O O O O O O O O O O
bên em áo khoác tại cửa hàng giảm ko,request#promotion,O O B-inform#object_type I-inform#object_type O O O O O
vâng cảm ơn bạn nhé,thank,O O O O O
xin chào lần nữa,greet,O O O O
cám ơn shop da tư vấn,thank,O O O O O O
mình hỏi mẫu áo dài xanh cho bé 6 tuổi,request#product,O O O B-inform#object_type I-inform#object_type B-inform#color O O B-inform#age I-inform#age
có vừa cho 38kg k ạ,ask_availability#size,O O O B-inform#weight O O
"118, nặng 20 -24kg",inform,B-inform#height O B-inform#weight I-inform#weight
46 cân quần jien này vừa k ạ ?,ask_if_fit,O O B-inform#object_type I-inform#object_type B-inform#mention O O O O
sz bé trai 14kg,inform,O B-inform#gender I-inform#gender B-inform#weight
e oi ko mua online dc ag,ask_if_sells#online,O O O O O O O
vâng thank chị,thank,O O O
bộ còn hàng màu đỏ ko,ask_availability,B-inform#object_type O O B-ask_availability#color I-ask_availability#color O
tô hiệu k còn sp áo giữ nhiệt e nhỉ,ask_availability,B-inform#location I-inform#location O O O B-inform#object_type O O O O
just inquiring on your face shield that i saw in one of sm baliuag employee,handoff,O O O O O O O O O O O O O O O
sz bé 5 tuổi 20 kg,inform,O O B-inform#age I-inform#age B-inform#weight I-inform#weight
nhưng bjo muốn đổi size,handoff,O O O O O
size 5 bé 27kg mang vừa ko shop?,ask_if_fit,O O O B-inform#weight O O O O
bé 5 tuổi 17kg nhé em,inform,O B-inform#age I-inform#age B-inform#weight O O
với cho c xem mẫu áo vest cho bé nhé,request#product,O O O O O B-inform#object_type I-inform#object_type O O O
shop ơi shop còn áo và váy này cho bé 6 tuổi k ak,ask_availability,O O O O B-inform#object_type O B-inform#object_type B-inform#mention O O B-inform#age I-inform#age O O
