text,intent,tags
Mà ghế này ngồi đc từ sơ sinh phải k ạ,ask_confirm,O B-inform#object_type O O O O B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O O
Nôi nặng tầm bao nhiêu,request#weight,B-inform#object_type O O O O
cái này là hàng VN à s?,ask_confirm,O O O O B-ask_confirm#origin O O
Em cam on a,thanks,O O O O
shop dùng bot ạ,ask_is_bot,O O O O
Máy mới bảo hành 12 tháng hả bạn,ask_confirm,O O B-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee O O
K phải là sắt ạ,deny,O O O B-deny#material O
xám đây ạ?,ask_confirm,B-ask_confirm#color O O
ko phải lót thấm sữa này,deny,O O B-deny#object_type I-deny#object_type I-deny#object_type O
70cm vs 1m5 nhé,inform,B-inform#size O O O
Shop ban noi cua hang nao the,request#brand,O O B-inform#object_type O O O O
Hola là hàng của Hàn à bạn,ask_confirm,B-inform#brand O O O B-ask_confirm#origin O O
Chứ k phải màu đen trắng này,deny,O O O B-deny#color I-deny#color I-deny#color O
là của hãng nào,request#brand,O O O O
Này là màn hả shop?,ask_confirm,O O B-ask_confirm#object_type O O
sản phẩm này làm bằng nguyên liệu gì,request#material,O O O O O O O O
Balo còn màu xanh ko shop?,inform,B-inform#object_type O B-inform#color I-inform#color O O
Hiệu gì vậy,request#brand,O O O
Shop còn vô lăng này k ạ? Màu vàng,inform,O O B-inform#object_type I-inform#object_type O O O B-inform#color I-inform#color
Bé nhà mình đc 7thang rồi ấy có bơi vừa ko,ask_confirm,O O O O B-ask_confirm#age_of_use O O O O O O
ghế ăn nhập phap bao nhiêu a,request#price,B-inform#object_type I-inform#object_type O B-inform#origin O O O
Tớ tra đc thông tin rồi mà 2 thùng đó nặng 38500gr là khoảng 15kg hả bạn??,ask_confirm,O O O O O O O O O O O O O O B-ask_confirm#weight O O
Ok shop ghế tớ vừa gửi là hãng gì để tớ vào tìm và dặt luôn a,request#brand,O O O O O O O O O O O O O O O O O
Chăn ấy mình ko thích lắm,deny,B-deny#object_type O O O O O
Còn màu đen ko b,inform,O B-inform#color I-inform#color O O
Tớ tra đc thông tin rồi mà 2 thùng đó nặng 38500gr là khoảng 38kg hả bạn??,ask_confirm,O O O O O O O O O O O O O O B-ask_confirm#weight O O
loai cua tung của thi sao a sh,inform,O O B-inform#origin I-inform#origin O O O O
5th rưỡi den may tuoi a,request#age_of_use,B-inform#age_of_use I-inform#age_of_use O O O O
Đây là cũi tập đi hay xe vậy shop?,ask_confirm,O O B-ask_confirm#object_type O O O O O O
Dậu là thú bông 175k,ask_confirm,O O B-inform#object_type I-inform#object_type B-ask_confirm#price
Bạn cho hỏi thảm Silicon giá nhiêu ạ?,request#price,O O O B-inform#object_type B-inform#material O O O
Loại 299k ý,inform,O B-inform#price O
Vâng ạ do mình để trong kho lâu rồi giờ ngại lôi ra quá huhu,agree,O O O O O O O O O O O O O O O
Gui c xem hình,request#image,O O O O
Ko phải vnxkg hàn,deny,O O B-deny#origin O
Ôi uh D,agree,O O O
Mà chi oi,greet,O O O
Còn cái beure là hàng của Đức à cậu,ask_confirm,O O B-inform#brand O O O B-ask_confirm#origin O O
Loại từ 0-7t giá sao b,request#price,O O B-inform#age_of_use O O O
Bảo hành bh 3 năm là bảo hành như thế,request#guarantee,O O B-inform#guarantee I-inform#guarantee I-inform#guarantee O O O O O
Giường nhựa cho bé giá bn ạ,request#price,B-inform#object_type B-inform#material O O O O O
cái này là xe thăng bằng đúng ko ạ,ask_confirm,O O O B-ask_confirm#object_type I-ask_confirm#object_type I-ask_confirm#object_type O O O
bạn còn bình ủ cháo Relea ko,inform,O O O B-inform#object_type I-inform#object_type B-inform#brand O
Chuong trinh 10% con chuh?,ask_confirm,O O B-ask_confirm#promotion O O
ko phải 1m8×2m,deny,O O B-deny#size
han quocg made in hàn ạ bạn,ask_confirm,B-ask_confirm#origin I-ask_confirm#origin O O O O O
Chu k phai hoi toys house,deny,O O O O B-deny#brand I-deny#brand
Chỉ nặng 27kg hae cậu?,ask_confirm,O O B-ask_confirm#weight O O
Ghế còn màu đen trắng k ạ,ask_confirm,O O B-ask_confirm#color I-ask_confirm#color I-ask_confirm#color O O
Nay be mây tuôi choi dc b,request#age_of_use,O O O O O O O
Cũi vandera e bé nằm đc hết 1 tuổi ko bạn,ask_confirm,B-inform#object_type B-inform#brand O O O O O B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O
cho m hỏi có bình đun nước giữ nhiệt của fatz ko,inform,O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O B-inform#brand O
Shop còn úp bình sữa này màu tím k ạ,inform,O O B-inform#object_type I-inform#object_type O O B-inform#color I-inform#color O O
Chị hỏi thêm nữa là kệ đựng bỉm sữa bên e có k?,inform,O O O O O B-inform#object_type I-inform#object_type O O O O O O
Mình thích xe nhẹ khoảng 11 kg,inform,O O O O O B-inform#weight I-inform#weight
Van con giảm 100k phai khong ban,ask_confirm,O O B-ask_confirm#promotion I-ask_confirm#promotion O O O
bot hay nvien,ask_is_bot,O O O
Có xe nào bh 3 năm không shop,inform,O O O B-inform#guarantee I-inform#guarantee I-inform#guarantee O O
Bé nhà e 1 tháng,inform,O O O B-inform#age_of_use I-inform#age_of_use
Cái này có bảo hành 1 năm,inform,O O O B-inform#guarantee I-inform#guarantee I-inform#guarantee I-inform#guarantee
Chuong trinh 280k con chuh?,ask_confirm,O O B-ask_confirm#promotion O O
Chu k phai hoi upang,deny,O O O O B-deny#brand
1.5cm đúng ko ah,ask_confirm,B-ask_confirm#size O O O
cái thảm toy house sillicon cho bé mấy tháng,request#age_of_use,O B-inform#object_type B-inform#brand I-inform#brand B-inform#material O O O O
K phai 2350k,deny,O O B-deny#price
Trọng lượng dưới 10kg hok shop,ask_confirm,O O O B-inform#weight O O
Ko phải 1250,deny,O O B-deny#price
Ghế ô tô dùng cho bé mấy tháng vậy b,request#age_of_use,B-inform#object_type I-inform#object_type I-inform#object_type O O O O O O O
Shop về quây cũi hàng trung quốc chưa ạ,inform,O O B-inform#object_type I-inform#object_type O B-inform#origin I-inform#origin O O
Giường này nc nào sx thế,request#origin,B-inform#object_type O O O O O
ghế ăn màu xám ấy,inform,B-inform#object_type I-inform#object_type B-inform#color I-inform#color O
Vì con trai m k thích có xanh xanh lắm,deny,O O O O O O O B-deny#color I-deny#color O
chatbot tự động à,ask_is_bot,O O O O
Khoảng từ 310 k trở xuống,inform,O O B-inform#price I-inform#price O O
ý m muốn hỏi nó là dạng khay an dam đúng ko a,ask_confirm,O O O O O O O B-ask_confirm#object_type I-ask_confirm#object_type I-ask_confirm#object_type O O O
Chứ ko phải máy em ah,deny,O O O B-deny#object_type O O
ừ mình hủy rồi ạ,agree,O O O O O
shop cho mình hỏi thêm có màn chụp giường m6 k ạ?,inform,O O O O O O B-inform#object_type O O B-inform#size O O
Máy xay và hấp avent có chương trình j ko ban?,request#promotion,B-inform#object_type I-inform#object_type O O B-inform#brand O O O O O O
Giá 990 phải ko ạ?,ask_confirm,O B-ask_confirm#price O O O
T Cảm ơn,thanks,O O O
Trọng lượng dưới 7kg hok shop,ask_confirm,O O O B-inform#weight O O
ko phải 85 cm,deny,O O B-deny#size I-deny#size
cái này là tu ô tô hay ghế vậy,ask_confirm,O O O B-ask_confirm#object_type O O O O O
ủ cháo dầu pk ạ,ask_confirm,B-ask_confirm#object_type I-ask_confirm#object_type O O O
Nó ko phải là tre,deny,O O O O B-deny#material
Này bé nằm đc đến mấy tháng Shop ha,request#age_of_use,O O O O O O O O O
Con cai mastela la cua My sx dung ko,ask_confirm,O O B-inform#brand O O B-ask_confirm#origin O O O
Bên m bh có loại ghế ô tô nào dùng đc từ sơ sinh hả b? Trc m hỏi mà chưa kịp mua,inform,O O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O O B-inform#age_of_use I-inform#age_of_use O O O O O O O O O
Shop cho m hỏi sữa tắm penaten Đức nhà m giá bn vậy ?,request#price,O O O O B-inform#object_type I-inform#object_type B-inform#brand B-inform#origin O O O O O O
Vậy bảo hành thì thế nào,request#guarantee,O O O O O O
tủ bát phai ko shop,ask_confirm,B-ask_confirm#object_type I-ask_confirm#object_type O O O
Cho mình xin giá thảm silicon luôn nhé,request#price,O O O O B-inform#object_type B-inform#material O O
Xe đẩy hope 1149k còn k s?,inform,B-inform#object_type I-inform#object_type B-inform#brand B-inform#price O O O
À thảm silicon,inform,O B-inform#object_type B-inform#material
Đệ2m*2m này chắc m,ask_confirm,B-ask_confirm#size O O O
có ghế rung giá 749 ý ạ,inform,O B-inform#object_type I-inform#object_type O B-inform#price O O
NK hàn hả,ask_confirm,O B-ask_confirm#origin O
mẫu luddy cho bé gần 2t còn hàng không ạ,inform,O B-inform#brand O O B-inform#age_of_use I-inform#age_of_use O O O O
Chứ ko phải nilon,deny,O O O B-deny#material
cái này bằng silocon à?,ask_confirm,O O O B-ask_confirm#material O
chai cọ bình dầu cọ của nhật còn sale ko ship,request#promotion,O B-inform#object_type I-inform#object_type O O O B-inform#origin O O O O
Máy hút hãng gì e?,request#brand,B-inform#object_type I-inform#object_type O O O
K phải của mastela đâu nha Tomorrow sky gì í,deny,O O O B-deny#brand O O B-inform#brand I-inform#brand O O
Cái hoa này cũng vovo travel đúng ko bạn,ask_confirm,O O O O B-ask_confirm#brand I-ask_confirm#brand O O O
Đây là quần áo hả c,ask_confirm,O O B-ask_confirm#object_type I-ask_confirm#object_type O O
Nó ko phải là silicon xpe,deny,O O O O B-deny#material I-deny#material
Cho m xin hình yếm với,request#image,O O O O B-inform#object_type O
Cái này kích thước bnh b ơi,request#size,O O O O O O O
"Và nặng 11,8 kg nhé",inform,O O B-inform#weight I-inform#weight O
Hàng của japan,inform,O O B-inform#origin
Bảo hành 12 tháng ạ,ask_confirm,B-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee O
chu e k thich màu kem trắng nhiu nhu hình,deny,O O O O B-deny#color I-deny#color I-deny#color O O O
Bé 18 tháng đã đi đc xe chòi chân chưa shop nhỏ,ask_confirm,O B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O
1 tuổi chả biết đi dc xe thăng bằng này chưa,ask_confirm,B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O
K phải là silicone ạ,deny,O O O B-deny#material O
có phải bot không shop,ask_is_bot,O O O O O
Mà dùng đc cho bé đến bao h?,request#age_of_use,O O O O O O O O
Xe tap di 299 con ko,inform,B-inform#object_type I-inform#object_type I-inform#object_type B-inform#price O O
Cho e hoi quay bóng nhựa với,inform,O O O B-inform#object_type B-inform#material I-inform#material O
chat bot hay nhan vien,ask_is_bot,O O O O O
Trọng lượng dưới 3 can hok shop,ask_confirm,O O O B-inform#weight I-inform#weight O O
phù hợp cho trẻ mấy tháng tuổi vậy chị,request#age_of_use,O O O O O O O O O
Shop cho minh hỏi đây la áo hút sữa cho bé ăn dặm pk a,ask_confirm,O O O O O O B-ask_confirm#object_type I-ask_confirm#object_type I-ask_confirm#object_type O O O O O O
Đều là trug quocg hàn à b,ask_confirm,O O B-ask_confirm#origin I-ask_confirm#origin O O O
bông,inform,B-inform#material
Bảo hành bảo hành 1 năm là bảo hành như thế,request#guarantee,O O B-inform#guarantee I-inform#guarantee I-inform#guarantee I-inform#guarantee O O O O O
Shop tư vấn giúp e sp xe đẩy giá 2trieu đổ về với ạ,inform,O O O O O O B-inform#object_type I-inform#object_type O B-inform#price O O O O
Shop dùng chatbot à,ask_is_bot,O O O O
Loại này k phải của babymoov ah,deny,O O O O O B-deny#brand O
Sx tại trung quốc Hà,ask_confirm,O O B-ask_confirm#origin I-ask_confirm#origin O
Con e 2 tháng có dùng đc ko ạ,ask_confirm,O O B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O O O O
Tới 6t nhỉ shop ?,ask_confirm,O B-ask_confirm#age_of_use O O O
B ơi treo cũi chiếu sao winfun còn ko b,inform,O O B-inform#object_type I-inform#object_type O O B-inform#brand O O O
K phai 1tr,deny,O O B-deny#price
Mình thích xe nhẹ khoảng 11kg,inform,O O O O O B-inform#weight
Minh muon mua tam 1990k thoi,inform,O O O O B-inform#price O
Chị gửi ảnh cho e xem với ạ,request#image,O O O O O O O O
Xe này 25kg á b,ask_confirm,B-inform#object_type O B-ask_confirm#weight O O
để mh cân nhắc Thanks nhé,thanks,O O O O O O
C ơi đây là sữa tắm gội phải ko ạ,ask_confirm,O O O O B-ask_confirm#object_type I-ask_confirm#object_type O O O O
Chương trình km giảm 280k còn có không shop,ask_confirm,O O O O B-ask_confirm#promotion O O O O
Cỡ bé là cỡ cao 57cm hả shop,ask_confirm,O O O O B-ask_confirm#size I-ask_confirm#size O O
Đây là xe kiza ạ,ask_confirm,O O O B-ask_confirm#brand O
Cái hình trên là yêm pha sữa fk,ask_confirm,O O O O B-ask_confirm#object_type O O O
T k thích màu đen vàng,deny,O O O B-deny#color I-deny#color I-deny#color
Cái này của moomy mà shop,ask_confirm,O O O B-ask_confirm#brand O O
trung quốc pk ạ,ask_confirm,B-inform#origin I-inform#origin O O
Xe này nặng bao nhiêu kg bạn,request#weight,B-inform#object_type O O O O O O
107cm nhỉ shop,ask_confirm,B-ask_confirm#size O O
E bé biết ngồi 6 tháng có dùng dc nữa kg,ask_confirm,O O O O B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O O O O
Mình hỏi hãng này có phải của trung quốc ko,ask_confirm,O O O O O O O B-ask_confirm#origin I-ask_confirm#origin O
Máy dc bảo hành từ 6 tháng chứ c,ask_confirm,O O B-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee O O
Có màu trắng k ạ?,inform,O B-inform#color I-inform#color O O
chao bn,greet,O O
Con thảm cotton gì ko,inform,O B-inform#object_type B-inform#material O O
Shop ơi cho em hỏi loại xe tập đi này có những màu nào ạ,request#color,O O O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O O O O
ko cần của uwinfun,deny,O O O B-deny#brand
B ơi set khăn yodo có sẵn màu gì,request#color,O O O B-inform#object_type B-inform#brand O O O O
có xe tập đi nào tầm 60x70 ko a,inform,O B-inform#object_type I-inform#object_type I-inform#object_type O O B-inform#size O O
Mình muốn mua sách vải,inform,O O O B-inform#object_type B-inform#material
cái này cái xe à b,ask_confirm,O O O B-ask_confirm#object_type O O
Xe có bảo hành ko ạ,request#guarantee,B-inform#object_type O O O O O
Khay ăn rộng rã chứ chị,request#size,B-inform#object_type I-inform#object_type O O O O
Thảm cuộn 490k là thảm XPE hả b,ask_confirm,O O B-inform#price O B-inform#object_type B-ask_confirm#material O O
Con e 4 tháng tuổi tập ngồi . Dùng xe này đc chưa,ask_confirm,O O B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O O O O O O O O
Hãng này là hãng gì thế bạn?,request#brand,O O O O O O O
K lấy cầu trượt ạ,deny,O O B-deny#object_type I-deny#object_type O
"Tớ tra đc thông tin rồi mà 2 thùng đó nặng 38500gr là khoảng 12,3kg hả bạn??",ask_confirm,O O O O O O O O O O O O O O B-ask_confirm#weight O O
Chìu dài nôi bao nhiu,request#size,O O B-inform#object_type O O
Cho e xem ảnh 2m2 với M đc k shop,request#image,O O O O B-inform#size O O O O O
bảo hành 12 tháng ạ sh,ask_confirm,B-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee O O
Minh ko thich màu đỏ/cam,deny,O O O B-deny#color I-deny#color
Thanks bạn ah,thanks,O O O
Sp từ nguồn nào thế,request#origin,O O O O O
Cái này dung cho bé từ 6 tháng trở lên ah,ask_confirm,O O O O O O B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O O
cái này bảo hành 3 tháng à?,ask_confirm,O O O O B-ask_confirm#guarantee I-ask_confirm#guarantee O
ko phai vinng ah,deny,O O B-deny#brand O
May hut sua avent minh bao hanh the nao vay ban?,request#guarantee,B-inform#object_type I-inform#object_type I-inform#object_type B-inform#brand O O O O O O O
Đây là máy hút phải k shop,ask_confirm,O O B-ask_confirm#object_type I-ask_confirm#object_type O O O
Chương trình km giảm giảm giá 20% còn có không shop,ask_confirm,O O O O B-ask_confirm#promotion I-ask_confirm#promotion I-ask_confirm#promotion O O O O
size xl hả shop,ask_confirm,B-ask_confirm#size I-ask_confirm#size O O
Dạ vâng tks shop ạ,agree,O O O O O
tới 6t dùng dk k ạ,ask_confirm,B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O O O
Giá là 1190k đúng k chị,ask_confirm,O O B-ask_confirm#price O O O
Em ko mua bình pha sữa,deny,O O O B-deny#object_type I-deny#object_type I-deny#object_type
Cầu trượt bóng rổ 890k còn màu nào shop ơi?,request#color,B-inform#object_type I-inform#object_type O O B-inform#price O O O O O
mà cái này là cho 1m à bạn,ask_confirm,O O O O O B-ask_confirm#age_of_use O O
Vâng ạ thaks shop,agree,O O O O
xe này nhãn hiệu gì ạ,request#brand,B-inform#object_type O O O O O
Còn 10% không shop,ask_confirm,O B-ask_confirm#promotion O O
Gửi hình sách M coi,request#image,O O B-inform#object_type O O
Bạn có hình ảnh của cái đó k,request#image,O O O O O O O O
Dày l à bạn,ask_confirm,O B-ask_confirm#size O O
Nó ko phải là nhựa,deny,O O O O B-deny#material
Đây là xe tap di hay ghế rung,ask_confirm,O O B-ask_confirm#object_type I-ask_confirm#object_type I-ask_confirm#object_type O O O
Thảm chơi đến mấy tuổi ạ,request#age_of_use,B-inform#object_type O O O O O
Xem cầu trượt giúp c còn màu gì chưa,request#color,O B-inform#object_type I-inform#object_type O O O O O O
ko phải 1m7,deny,O O B-deny#size
còn màu j shop?,request#color,O O O O
trung quốc xuất khẩu,inform,B-inform#origin I-inform#origin O O
C có bình sữa pigeon 160ml k ạ,inform,O O B-inform#object_type I-inform#object_type B-inform#brand B-inform#size O O
bảo hành một năm b ạ,inform,B-inform#guarantee I-inform#guarantee I-inform#guarantee I-inform#guarantee O O
Giường đc bhanh lâu chứ,request#guarantee,B-inform#object_type O O O O
Nôi này 1990k hả shop?,ask_confirm,B-inform#object_type O B-ask_confirm#price O O
Còn cái máy hút mũi 920k ko ạ,inform,O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#price O O
Shop có bán núm ti giả của avent cho trẻ 0-6 tháng ko ạ,inform,O O O B-inform#object_type I-inform#object_type O O B-inform#brand O O B-inform#age_of_use I-inform#age_of_use O O
thảm toy house sillicon nhập từ đâu,request#origin,B-inform#object_type B-inform#brand I-inform#brand B-inform#material O O O
Người hay bot th,ask_is_bot,O O O O
Noi co nang khong,request#weight,B-inform#object_type O O O
Cái này có phải của k-mom ko?,ask_confirm,O O O O O B-ask_confirm#brand O
bh 3 năm,inform,B-inform#guarantee I-inform#guarantee I-inform#guarantee
Tớ ko thích ghế đa năng tròn,deny,O O O B-deny#object_type I-deny#object_type I-deny#object_type O
Ko phải việt namg hàn,deny,O O B-deny#origin I-deny#origin O
Shop còn ghế ăn của Nhật ko,inform,O O B-inform#object_type I-inform#object_type O B-inform#origin O
Đứng roi bạn,agree,O O O
ghế này nẰm đến đc mấy tháng vậy ạ,request#age_of_use,B-inform#object_type O O O O O O O O
bao hanh 1 nam phải ko?,ask_confirm,B-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee O O
bộ đồ chế biến phai k b,ask_confirm,B-ask_confirm#object_type I-ask_confirm#object_type I-ask_confirm#object_type I-ask_confirm#object_type O O O
E muốn mua máy hút sữa media pumb,inform,O O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#brand I-inform#brand
Hàng tqxk ấy b,inform,O B-inform#origin O O
shop cho mình hỏi sữa tắm gội arau 450ml,inform,O O O O B-inform#object_type I-inform#object_type O B-inform#brand B-inform#size
C ơi c còn ghế ăn nhật ko ?,inform,O O O O B-inform#object_type I-inform#object_type B-inform#origin O O
cái này chất gì hả chị,request#material,O O O O O O
Làm bằng thủy tinhhay gỗ,ask_confirm,O O B-ask_confirm#material I-ask_confirm#material O
Tới 4t đúng không shop ?,ask_confirm,O B-ask_confirm#age_of_use O O O O
"chị ơi, còn hộp đựng thuốc ko ạ",inform,O O O B-inform#object_type I-inform#object_type O O O
"ko phải 1,4mx1,4m",deny,O O B-deny#size
Nay hang made in j vay b,request#origin,O O O O O O O
xe tập đi có những chất liệu gì?,request#material,B-inform#object_type I-inform#object_type I-inform#object_type O O O O O
Của hãng nào vậy b?,request#brand,O O O O O
Nôi chắc nặngnhỉ,request#weight,B-inform#object_type O O
Cái này là đồ chơi chân cong ạ?,ask_confirm,O O O B-ask_confirm#object_type I-ask_confirm#object_type O O O
Ghế mige sx ở đâu ạ,request#origin,B-inform#object_type B-inform#brand O O O O
Ghế này dùng cho bé đến mấy tháng nhỷ,request#age_of_use,B-inform#object_type O O O O O O O O
cho mình hỏi thêm Máy tạo ẩm & khuyếch tán tinh dầu BabyMoov Pháp giá luôn nhe shop ơi,request#price,O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O O O B-inform#brand B-inform#origin O O O O O
Bên mình có bán ghế hơi tập ngồi ko?,inform,O O O O B-inform#object_type I-inform#object_type O O O
ko phải 125ml,deny,O O B-deny#size
Quây kích thước là bn shop. Đây là quây nhỏ nhất chưa ạ.,request#size,O O O O O O O O B-inform#object_type O O O O
ko có koreag sản xuất hàn ạ?,inform,O O B-inform#origin O O O O
M k thích bọc silicon vì nóng,deny,O O O O B-deny#material O O
alo shop ơiii,greet,O O O
bảo hành chính hãng 2 năm b ạ,inform,B-inform#guarantee I-inform#guarantee I-inform#guarantee I-inform#guarantee I-inform#guarantee I-inform#guarantee O O
Bộ đồ chơi này có sale k bạn,request#promotion,B-inform#object_type I-inform#object_type I-inform#object_type O O O O O
Bảo hành bh 12thang là bảo hành như thế,request#guarantee,O O B-inform#guarantee I-inform#guarantee O O O O O
Giá 1650k,inform,O B-inform#price
e cảm ơn Shop,thanks,O O O O
Hàng chính hãng umo đúng k ạ,ask_confirm,O O O B-ask_confirm#brand O O O
Còn mầu khác ko?,request#color,O O O O
Và nặng 10kg nhé,inform,O O B-inform#weight O
b ơi bộ kệ hola còn màu vàng xám ko?,ask_confirm,O O O B-inform#object_type B-inform#brand O B-ask_confirm#color I-ask_confirm#color I-ask_confirm#color O
Alo Shop oi,greet,O O O
Hi bn,greet,O O
Chu k phai hoi burt & bees,deny,O O O O B-deny#brand I-deny#brand I-deny#brand
Shop oi shop còn ghế hơi tập ngồi cho bé k nhỉ,inform,O O O O B-inform#object_type I-inform#object_type O O O O O O
chatbot hay nguoi,ask_is_bot,O O O
E lấy 36 tháng,inform,O O B-inform#guarantee I-inform#guarantee
Bhanh bao lâu cho thảm infantino,request#guarantee,O O O O B-inform#object_type B-inform#brand
M muốn mua thảm hàn quốc,inform,O O O B-inform#object_type B-inform#origin I-inform#origin
Vẫn bảo hành 1 năm à b?,ask_confirm,O B-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee O O
lam bang thủy tính hay inox vay b?,ask_confirm,O O B-ask_confirm#material I-ask_confirm#material O O O O
Kg có màu vàng xám hả b?,ask_confirm,O O B-ask_confirm#color I-ask_confirm#color I-ask_confirm#color O O
Cua hãng nao vay shop,request#brand,O O O O O
Ko phải 2350k,deny,O O B-deny#price
Đung roi ban,agree,O O O
7 thang da ngoi dc chua ah shop?,ask_confirm,B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O O O O O
Mà k fai doctor,deny,O O O B-deny#brand
à em ơi,greet,O O O
cái này bao hanh 1 nam à?,ask_confirm,O O B-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee O
Mâmgo có đc giảm giá k b?,request#promotion,B-inform#brand O O O O O O
Cho mình hỏi máu hút sữa avent shop có bảo hành chính hãng 2 năm k,ask_confirm,O O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#brand O O B-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee O
Cho m kích thước với,request#size,O O O O O
k phải 2590k,deny,O O B-deny#price
Ko phải kiểu thảm này nhé e,deny,O O O B-deny#object_type O O O
Chuong trinh bot 200k con chuh?,ask_confirm,O O B-ask_confirm#promotion I-ask_confirm#promotion O O
Ngoài avent ra thì còn hãng nào nhỉ,request#brand,O B-deny#brand O O O O O O
bề rộng là 1m8 x 2m x 15cm ạ,ask_confirm,O O O B-ask_confirm#size I-ask_confirm#size I-ask_confirm#size I-ask_confirm#size I-ask_confirm#size O
Hang made in gi the,request#origin,O O O O O
